"Theta [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13.93GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='14.5GHz' Phi='0deg'"
0,1.0761948035533,1.48972506048252,1.64513019483736,1.85411007294132,2.51878247730297,1.82635210987188,1.81407959803833,-1.96659064711535,2.86402892756942,3.27879020357264,2.91527338269599,0.464749353928829
1,1.07615752946018,1.49087059471977,1.64529361477242,1.85507493244003,2.52203235961223,1.82286314455354,1.8115389436299,-1.97066802396516,2.86342456549287,3.28394939907184,2.9107455854059,0.454712170852078
2,1.0760100256979,1.49173272238051,1.64499990255744,1.8551631354234,2.52380478869792,1.81756309441813,1.80622245628271,-1.97872462121181,2.86090232612326,3.28361981651476,2.89952096069199,0.437881764800532
3,1.07575255553697,1.492311629911,1.64424859749069,1.85437526416351,2.52411268834249,1.81047016107666,1.79815981278455,-1.99070965456666,2.85636462660875,3.27766773971047,2.88160681710772,0.414434148027497
4,1.07538548392167,1.49260744210162,1.64303941133207,1.85271719585236,2.52298098118491,1.8016060259356,1.78739494287162,-2.00655297909234,2.84963657245423,3.26595477801523,2.856946761438,0.384468620953814
5,1.07490927578317,1.49262024266375,1.64137229447268,1.85020001711382,2.52044601943258,1.79099505998694,1.77398332427282,-2.02617075297616,2.84048008345371,3.24835265308175,2.82542864035628,0.34800231472767
6,1.07432449450089,1.49235010576754,1.63924751961576,1.84683983798933,2.51655474852984,1.7786633601102,1.75798846580611,-2.04947222492817,2.82861267760007,3.22475805507849,2.78689860535366,0.304973753936966
7,1.07363180053985,1.49179713770552,1.63666578049192,1.84265750822091,2.51136361645385,1.76463768718026,1.73947786590474,-2.07636696224716,2.81372951532201,3.19510623811472,2.74117934935457,0.255253876596361
8,1.07283195028902,1.49096152759745,1.63362830263801,1.83767824069856,2.50493724765642,1.74894440063282,1.71851879058015,-2.10677178480001,2.79552710394145,3.15938209695331,2.68809005682099,0.198662043623661
9,1.07192579512211,1.48984360582811,1.63013696284774,1.83193114898714,2.49734690765558,1.73160849719727,1.6951742477453,-2.14061668311092,2.77372696691467,3.11762763278899,2.62746544750424,0.134984109307485
10,1.07091428069864,1.48844390871725,1.62619441356737,1.82544870786446,2.48866879171607,1.71265286672391,1.6694995403874,-2.17784907566335,2.74809759078103,3.06994496597573,2.55917149652079,0.0639896714752668
11,1.06979844651889,1.4867632477645,1.62180420826927,1.81826614774854,2.47898217864055,1.69209787428559,1.64153975729357,-2.21843589484034,2.71847306647379,3.01649437673916,2.48311595037774,-0.0145538430766558
12,1.06857942574144,1.48480278169435,1.6169709237008,1.81042079571652,2.46836749801241,1.66996136446779,1.61132850691987,-2.26236317101027,2.68476703115739,2.95748723706704,2.39925255680493,-0.100871674784299
13,1.06725844526729,1.48256408945165,1.61170027488012,1.8019513774682,2.45690436579699,1.64625916110991,1.5788881198497,-2.30963299461665,2.64698078404636,2.89317411983178,2.30757887856664,-0.195177073488215
14,1.06583682608908,1.48004924226705,1.60599921879938,1.79289729600101,2.44466964848724,1.62100610463167,1.54423144271635,-2.36025795917551,2.6052047894284,2.82382880988953,2.20812853833727,-0.297670581299061
15,1.06431598389873,1.47726087292544,1.59987604300003,1.78329790387889,2.43173561943801,1.59421763116616,1.50736522816662,-2.41425340601821,2.55961318858003,2.7497293631295,2.10095960503531,-0.408541382323169
16,1.06269742994123,1.47420224042856,1.59334043550277,1.77319178673139,2.41816827218709,1.56591185544159,1.46829499973695,-2.4716279880253,2.51045141372736,2.6711377216567,1.98614145041265,-0.52796827020856
17,1.06098277209702,1.47087728834385,1.58640353300098,1.76261607595113,2.40402585402303,1.53611207569168,1.42703114664905,-2.53237323053479,2.45801751901923,2.58827965005693,1.86374267140357,-0.656117734072791
18,1.05917371616982,1.46729069527285,1.57907794475316,1.751605808416,2.38935767858641,1.50484957715776,1.38359589089159,-2.59645288205352,2.40263839080891,2.50132686476825,1.73382252486198,-0.793137180795521
19,1.05727206735218,1.46344791605043,1.57137775022462,1.7401933504055,2.37420326881234,1.47216657435911,1.33803067625199,-2.66379290716197,2.34464253173444,2.41038315347506,1.59642775183864,-0.93914233791134
20,1.05527973183565,1.45935521249685,1.56331846921677,1.72840790168415,2.35859187116519,1.43811910439994,1.29040346357012,-2.73427297337264,2.28433157373656,2.31547601294609,1.45159574125419,-1.09419926056792
21,1.05319871852858,1.45501967278232,1.55491700396547,1.71627509398291,2.34254236920576,1.40277966677211,1.24081538394968,-2.80772021920158,2.22195299730044,2.21655488801,1.29936382559896,-1.2583028694859
22,1.05103114084026,1.45044921872285,1.54619155346769,1.70381669584053,2.32606360957938,1.36623940128032,1.18940620545922,-2.88390596127906,2.157676651101,2.11349651461332,1.13978329065989,-1.43135531050295
23,1.04877921848726,1.44565260060072,1.53716150108467,1.69105043301286,2.30915513718574,1.32860960583465,1.13635811032004,-2.96254580609998,2.0915775260405,2.00611721885924,0.9729356139237,-1.61314839286351
24,1.04644527927432,1.44063937938507,1.52784727724642,1.67798993048808,2.2918083193682,1.29002241994863,1.08189735797784,-3.04330338370177,2.02362681870046,1.89419137102213,0.798947704702536,-1.80335472039845
25,1.04403176080109,1.43541989651241,1.51827019982165,1.66464477865366,2.27400782228502,1.25063053694213,1.02629352205434,-3.12579762899315,1.9536926409652,1.77747460127384,0.618002639510441,-2.0015317379911
26,1.04154121204369,1.43000523166493,1.50845229539484,1.65102072246134,2.25573338704421,1.21060585633182,0.969856131259534,-3.20961322182621,1.88155085816552,1.6557298984481,0.43034263725977,-2.20714172934716
27,1.03897629476023,1.42440714925068,1.49841610528465,1.63711996866354,2.23696183950222,1.17013704524549,0.91292870915528,-3.29431348685789,1.80690556623471,1.52875436291591,0.236261793547103,-2.41958888297643
28,1.03633978466916,1.4186380345368,1.48818448062533,1.62294160249322,2.21766925655278,1.12942604089981,0.855880386272567,-3.37945478227056,1.72941776587944,1.39640418627995,0.0360873152756352,-2.63827207243973
29,1.0336345723506,1.41271082060966,1.4777803711967,1.60848210167702,2.19783320384221,1.0886835917825,0.799095439373859,-3.46460120812245,1.64873997154473,1.25861539995802,-0.16985046540421,-2.86264927826244
30,1.03086366382231,1.40663890752812,1.46722661291537,1.59373593255435,2.17743495555902,1.04812399942161,0.742961283486706,-3.54933837265563,1.56455389379573,1.11541809580631,-0.381257335617953,-3.09230702457625
31,1.02803018074468,1.40043607519436,1.45654571898174,1.57869621045428,2.15646160649951,1.00795928155576,0.68785558818652,-3.63328499065306,1.47660800769749,0.966942208209097,-0.597920109020454,-3.32702628672928
32,1.02513736021224,1.39411639158686,1.44575967960907,1.56335540446905,2.13490799006532,0.968393027140515,0.634133295684939,-3.71610125870022,1.38475177987673,0.813413591358575,-0.819752225591502,-3.56683549563071
33,1.02218855409313,1.38769411807984,1.43488977504536,1.54770606544399,2.11277832308506,0.92961425006521,0.582114371186351,-3.79749324591449,1.28896355440345,0.655140038881184,-1.04683416917953,-3.81204183271045
34,1.01918722788251,1.38118361361111,1.4239564062421,1.53174155542978,2.09008750907746,0.891791568220291,0.532073105699035,-3.87721292486357,1.18936955452072,0.492488038563323,-1.27944258350123,-4.06323404544962
35,1.01613695904108,1.37459923945648,1.41297894703851,1.51545675703476,2.0668620453461,0.855068034857655,0.484229713403218,-3.95505390154057,1.08625209947784,0.325852326112702,-1.51806251668857,-4.32125328789581
36,1.01304143479517,1.36795526632266,1.40197562113285,1.49884874205353,2.04314049553259,0.819556928314577,0.438744822087267,-4.03084333451807,0.980045921545555,0.155621518065515,-1.76337859950847,-4.58713250355608
