"Phi [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Theta='0deg'"
0,1.0761948035533,1.48972506048252,1.64513019483736,1.85411007294132,2.51878247730297,1.82635210987188,1.81407959803833,-1.96659064711535,2.86402892756942,3.27879020357264
1,1.07488479959705,1.48840445655731,1.6461405927812,1.85350344820314,2.51737366680206,1.83003605813463,1.81542915286813,-1.95524510108961,2.86164152778916,3.27704817562386
2,1.07092799075749,1.48443730290077,1.64450505958422,1.85025041489163,2.51331819195007,1.83107696517997,1.81413379201567,-1.94648666304327,2.85660656341252,3.2726740999828
3,1.06432196409533,1.47782118097406,1.64022259852742,1.84434898974142,2.50661358011952,1.82947546277652,1.8101927270017,-1.94031040373677,2.84892096282102,3.26566535434092
4,1.0550626862228,1.46855205240184,1.63329059803434,1.83579557105625,2.49725573843376,1.82523057884524,1.80360355747618,-1.93671285246431,2.83858003048159,3.25601773149044
5,1.04314449343888,1.4566242490996,1.62370482529509,1.82458492990547,2.48523894375936,1.81833973510286,1.79436226536916,-1.93569198962007,2.82557743545126,3.24372542929715
6,1.02856007783918,1.4420304593788,1.61145941591249,1.81071019731122,2.47055582867338,1.80879874080528,1.78246320508202,-1.93724724237829,2.80990519583003,3.2287810368336
7,1.0113004693278,1.42476170995733,1.59654685951602,1.79416284735942,2.45319736333227,1.7966017825587,1.76789908966787,-1.94137948346872,2.79155365908028,3.21117551660291
8,0.991355013436817,1.40480734378076,1.57895798126876,1.774932676146,2.43315283314723,1.78174141014576,1.75066097292929,-1.94809103304243,2.77051147810928,3.19089818276304
9,0.968711344836166,1.38215499353724,1.55868191916974,1.7530077764473,2.41040981214812,1.76420851829339,1.73073822733952,-1.95738566363561,2.74676558298801,3.16793667524058
10,0.943355356392833,1.35679055072534,1.53570609703209,1.72837450798018,2.38495413189409,1.74399232428716,1.70811851767083,-1.96926860825283,2.7203011481553,3.14227692960112
11,0.915271163613395,1.32869813010868,1.51001619299279,1.70101746309244,2.35676984576417,1.72108034131505,1.68278777019004,-1.98374657160394,2.69110155493056,3.11390314252046
12,0.884441064277041,1.29786002936486,1.48159610338494,1.6709194276983,2.32583918843414,1.69545834739957,1.65473013725619,-2.00082774454286,2.65914834913098,3.082797732676
13,0.850845493037964,1.26425668370778,1.45042790177636,1.63806133724525,2.29214253031775,1.66711034975305,1.62392795712914,-2.02052182177013,2.62442119355998,3.04894129685224
14,0.814462970745279,1.22786661523168,1.41649179295006,1.60242222746912,2.25565832671958,1.63601854436413,1.59036170876941,-2.04284002287533,2.58689781510191,3.0123125610258
15,0.7752700481957,1.18866637669259,1.37976606157067,1.56397917966155,2.21636306141382,1.60216327059595,1.55400996137917,-2.06779511681063,2.54655394612415,2.97288832616567
16,0.733241243998393,1.14663048940685,1.34022701524824,1.52270726013912,2.17423118432736,1.56552296054605,1.51484931840189,-2.09540144990171,2.50336325985056,2.93064340845167
17,0.688348976192373,1.10173137490757,1.29784892167421,1.47857945356535,2.12923504296656,1.52607408288587,1.47285435566224,-2.12567497751873,2.45729729932981,2.8855505735788
18,0.640563487214146,1.05393927995716,1.25260393946508,1.43156658973496,2.08134480718419,1.48379108086214,1.42799755328942,-2.15863329954692,2.4083253995778,2.83758046477661
19,0.589852761766435,1.00322219446744,1.20446204230631,1.38163726338437,2.03052838683616,1.43864630410437,1.38024922102454,-2.1942956998142,2.35641460242472,2.78670152413037
20,0.536182437087163,0.949545761827045,1.15339093594131,1.32875774654178,1.97675134182588,1.39060993384064,1.32957741646652,-2.23268318965225,2.30152956354353,2.73287990674466
21,0.479515705060901,0.892873181079227,1.09935596749839,1.27289189287491,1.91997678397697,1.33964990107757,1.27594785575957,-2.27381855578766,2.24363245107714,2.67607938723871
22,0.419813205551633,0.833165100329596,1.0423200265907,1.21400103343283,1.86016527011148,1.28573179725008,1.21932381616887,-2.31772641278137,2.18268283521549,2.61626125800673
23,0.35703291026548,0.770379500693638,0.982243437560205,1.15204386311013,1.79727468564072,1.22881877679014,1.15966602992849,-2.36443326025755,2.11863756800078,2.55338421861377
24,0.291129996373709,0.704471570015336,0.919083842165585,1.08697631708549,1.73126011789673,1.168871451002,1.09693256867602,-2.41396754518777,2.05145065255643,2.48740425562867
25,0.222056709038837,0.635393565501111,0.852796071934613,1.0187514364018,1.66207371834547,1.10584777256227,1.03107871771078,-2.46635972952314,1.98107310084467,2.41827451211832
26,0.149762211888641,0.563094664315353,0.783332009312924,0.947319221760243,1.5896645527237,1.03970290988651,0.962056839226008,-2.52164236349534,1.90745277895422,2.34594514594173
27,0.0741924243729754,0.48752080107428,0.710640436641886,0.872626474493533,1.51397843803225,0.970389110518674,0.889816223568492,-2.5798501649386,1.83053423880484,2.27036317588644
28,-0.00471015518547703,0.408614491051175,0.63466687188665,0.794616623564471,1.43495776519353,0.897855552603401,0.814302927470447,-2.64102010501782,1.75025853502522,2.19147231458225
29,-0.087006642174917,0.326314637767018,0.555353389910158,0.713229537300151,1.35254130604178,0.822048183394142,0.735459598076031,-2.70519150078432,1.66656302561437,2.10921278700662
30,-0.172761975398654,0.240556323483136,0.472638427947358,0.628401318420068,1.2666640031563,0.742909543629139,0.653225281447197,-2.77240611501936,1.57938115483078,2.02352113326082
31,-0.262045145564597,0.151270580934285,0.386456573773875,0.540064080743475,1.1772567408689,0.660378576471128,0.567535214077744,-2.84270826386793,1.48864221656568,1.9343299941429
32,-0.354929444427379,0.058384144438395,0.29673833488221,0.448145705765455,1.08424609557336,0.574390419553172,0.478320595768252,-2.91614493281111,1.39427109624296,1.84156787787145
33,-0.451492736681509,-0.038180821711107,0.203409886772687,0.35256957706819,0.987554063233696,0.484876178499082,0.385508342014296,-2.99276590157438,1.29618798904528,1.74515890611915
34,-0.551817756966985,-0.138507019926895,0.106392798232142,0.253254290280021,0.887097761723735,0.391762680089695,0.289020813832887,-3.07262387862321,1.1943080919877,1.64502253729427
35,-0.655992434649842,-0.242682343739913,0.00560373120599414,0.150113336004551,0.78278910532906,0.294972203022374,0.188775522692518,-3.15577464595469,1.08854126704264,1.54107326475748
