!CSV A.01.01
!Keysight Technologies,N5224A,MY51441075,A.10.49.11
!Date: Saturday, November 26, 2022 12:56:54
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
750000000,-29.90333,-88.292114
751000000,-29.884365,-89.843147
752000000,-29.865643,-91.41407
753000000,-29.84725,-93.004425
754000000,-29.829124,-94.613777
755000000,-29.811293,-96.241905
756000000,-29.793772,-97.888786
757000000,-29.776472,-99.554001
758000000,-29.759451,-101.2378
759000000,-29.742752,-102.9398
760000000,-29.726339,-104.66011
761000000,-29.710201,-106.39789
762000000,-29.694349,-108.15369
763000000,-29.678762,-109.9272
764000000,-29.663458,-111.71776
765000000,-29.648413,-113.52546
766000000,-29.633604,-115.34991
767000000,-29.618977,-117.1916
768000000,-29.604568,-119.04983
769000000,-29.59033,-120.92461
770000000,-29.576263,-122.81577
771000000,-29.562349,-124.72309
772000000,-29.548527,-126.64665
773000000,-29.53487,-128.58647
774000000,-29.521254,-130.54234
775000000,-29.507624,-132.51448
776000000,-29.494072,-134.50261
777000000,-29.480537,-136.50702
778000000,-29.466963,-138.52744
779000000,-29.453356,-140.564
780000000,-29.439766,-142.617
781000000,-29.426109,-144.68602
782000000,-29.412373,-146.77115
783000000,-29.398598,-148.87268
784000000,-29.38475,-150.9902
785000000,-29.370838,-153.12402
786000000,-29.356825,-155.27379
787000000,-29.34273,-157.43968
788000000,-29.328564,-159.62192
789000000,-29.31431,-161.82005
790000000,-29.299999,-164.03421
791000000,-29.285524,-166.26421
792000000,-29.270931,-168.50992
793000000,-29.256294,-170.77164
794000000,-29.241461,-173.04903
795000000,-29.226503,-175.34216
796000000,-29.211369,-177.65044
797000000,-29.196089,-179.97432
798000000,-29.180531,177.68658
799000000,-29.164747,175.33186
800000000,-29.148714,172.96178
801000000,-29.13237,170.57657
802000000,-29.115707,168.17653
803000000,-29.098658,165.76128
804000000,-29.081232,163.33035
805000000,-29.063328,160.88454
806000000,-29.045012,158.42355
807000000,-29.026184,155.94653
808000000,-29.00683,153.45383
809000000,-28.986898,150.94554
810000000,-28.96641,148.42139
811000000,-28.945305,145.88078
812000000,-28.923527,143.32384
813000000,-28.901176,140.75029
814000000,-28.87809,138.15997
815000000,-28.854317,135.55247
816000000,-28.82988,132.92776
817000000,-28.804747,130.28516
818000000,-28.778976,127.62456
819000000,-28.75246,124.94598
820000000,-28.725323,122.24924
821000000,-28.697479,119.53384
822000000,-28.668955,116.79955
823000000,-28.639858,114.04662
824000000,-28.610113,111.27421
825000000,-28.579754,108.48225
826000000,-28.548805,105.67079
827000000,-28.51783,102.85783
828000000,-28.486774,100.04405
829000000,-28.455645,97.228767
830000000,-28.424496,94.412407
831000000,-28.393394,91.594223
832000000,-28.362513,88.774788
833000000,-28.331659,85.953918
834000000,-28.301033,83.132027
835000000,-28.270611,80.308495
836000000,-28.240479,77.484367
837000000,-28.210583,74.659843
838000000,-28.180971,71.833527
839000000,-28.151676,69.007317
840000000,-28.122673,66.180504
841000000,-28.093977,63.353436
842000000,-28.065647,60.526657
843000000,-28.037674,57.699745
844000000,-28.010111,54.873512
845000000,-27.982904,52.048088
846000000,-27.956083,49.222664
847000000,-27.929621,46.399014
848000000,-27.903492,43.575932
849000000,-27.87768,40.753952
850000000,-27.852318,37.933193
851000000,-27.82724,35.114285
852000000,-27.80242,32.296246
853000000,-27.777935,29.480429
854000000,-27.753685,26.666245
855000000,-27.729744,23.854141
856000000,-27.70607,21.043947
857000000,-27.682592,18.235273
858000000,-27.659323,15.428849
859000000,-27.636154,12.624174
860000000,-27.613279,9.8216467
861000000,-27.590542,7.0212364
862000000,-27.567982,4.2221694
863000000,-27.545515,1.4252355
864000000,-27.523134,-1.3696918
865000000,-27.500887,-4.1623917
866000000,-27.478792,-6.9538503
867000000,-27.456783,-9.7435741
868000000,-27.434872,-12.531242
869000000,-27.41305,-15.317288
870000000,-27.391296,-18.101786
871000000,-27.369623,-20.88496
872000000,-27.348061,-23.666546
873000000,-27.326565,-26.446953
874000000,-27.305141,-29.225554
875000000,-27.283762,-32.00301
876000000,-27.262516,-34.77882
877000000,-27.241362,-37.553215
878000000,-27.220343,-40.325928
879000000,-27.199352,-43.097572
880000000,-27.178444,-45.867924
881000000,-27.157742,-48.636868
882000000,-27.137203,-51.40398
883000000,-27.11665,-54.16988
884000000,-27.096241,-56.933887
885000000,-27.075937,-59.695847
886000000,-27.055756,-62.456192
887000000,-27.035612,-65.214302
888000000,-27.015629,-67.971077
889000000,-26.995674,-70.725677
890000000,-26.975796,-73.478401
891000000,-26.955952,-76.22892
892000000,-26.936178,-78.977348
893000000,-26.916431,-81.723312
894000000,-26.896749,-84.467033
895000000,-26.877039,-87.208954
896000000,-26.85729,-89.948364
897000000,-26.837494,-92.686028
898000000,-26.81764,-95.421013
